system_name,school_name,asian,black_or_african_american,american_indian_alaska_native,native_hawaiian_pacific_islander,white,two_or_more_races,hispanic_latino,year,total_enrollment_2022,econ_disadv,foster,gen_ed,homeless,migrant,military,swd,el,econ_disadv_pct_2022,foster_pct_2022,gen_ed_pct_2022,homeless_pct_2022,migrant_pct_2022,military_pct_2022,swd_pct_2022,el_pct_2022,asian_pct_2022,black_or_african_american_pct_2022,american_indian_alaska_native_pct_2022,native_hawaiian_pacific_islander_pct_2022,white_pct_2022,two_or_more_races_pct_2022,hispanic_latino_pct_2022,sum_pct_2022
Alabama State Department of Education,Alabama State Department of Education,11099,235270,6455,854,385045,22524,74561,2022,735808.0,351049.0,2754.0,604862.0,7819.0,1292.0,14646.0,130946.0,36956.0,0.47709320909802555,0.003742824215012612,0.8220378142124032,0.010626413412194486,0.001755892841610855,0.01990464903887971,0.17796218578759676,0.05022505871096808,0.015084098025571889,0.3197437374967383,0.00877266895711925,0.001160628859702531,0.5232954792554579,0.030611246412107506,0.1013321409933026,1.0
Alabaster City,Alabaster City,77,1399,31,*,3396,71,1332,2022,6315.0,2201.0,20.0,5464.0,48.0,,128.0,851.0,554.0,0.348535233570863,0.003167062549485352,0.8652414885193983,0.007600950118764846,,0.020269200316706256,0.13475851148060175,0.08772763262074426,0.012193190815518607,0.2215360253365004,0.004908946951702296,,0.5377672209026129,0.011243072050673,0.21092636579572446,
Albertville City,Albertville City,24,254,28,*,2168,145,3235,2022,5856.0,2716.0,20.0,5045.0,71.0,304.0,120.0,811.0,1488.0,0.46379781420765026,0.0034153005464480873,0.86150956284153,0.01212431693989071,0.05191256830601093,0.020491803278688523,0.13849043715846995,0.2540983606557377,0.004098360655737705,0.04337431693989071,0.0047814207650273225,,0.3702185792349727,0.024760928961748634,0.5524248633879781,
Alexander City,Alexander City,29,1160,*,*,1319,111,270,2022,2889.0,1460.0,11.0,2378.0,18.0,,,511.0,97.0,0.5053651782623745,0.00380754586362063,0.8231221876081689,0.006230529595015576,,,0.1768778123918311,0.033575631706472826,0.010038075458636206,0.40152301834544823,,,0.4565593631014192,0.03842159916926272,0.09345794392523364,
Andalusia City,Andalusia City,20,543,*,*,1212,60,59,2022,1905.0,924.0,,1470.0,11.0,,22.0,435.0,13.0,0.48503937007874015,,0.7716535433070866,0.005774278215223097,,0.011548556430446194,0.2283464566929134,0.0068241469816272965,0.010498687664041995,0.28503937007874014,,,0.6362204724409449,0.031496062992125984,0.030971128608923884,
Anniston City,Anniston City,*,1611,*,*,110,49,93,2022,1865.0,1359.0,22.0,1577.0,16.0,,54.0,288.0,28.0,0.7286863270777479,0.011796246648793566,0.8455764075067024,0.008579088471849867,,0.028954423592493297,0.1544235924932976,0.015013404825737266,,0.8638069705093834,,,0.058981233243967826,0.026273458445040216,0.04986595174262735,
Arab City,Arab City,27,19,*,*,2418,22,86,2022,2585.0,763.0,,2098.0,15.0,,17.0,487.0,24.0,0.29516441005802707,,0.811605415860735,0.005802707930367505,,0.0065764023210831725,0.188394584139265,0.009284332688588007,0.010444874274661509,0.007350096711798839,,,0.9353965183752417,0.00851063829787234,0.033268858800773696,
Athens City,Athens City,102,687,27,*,2690,283,890,2022,4686.0,1883.0,,3917.0,63.0,,96.0,769.0,490.0,0.40183525394793,,0.8358941527955612,0.013444302176696543,,0.020486555697823303,0.16410584720443874,0.10456679470763978,0.02176696542893726,0.146606914212548,0.005761843790012804,,0.5740503627827571,0.06039265898420828,0.1899274434485702,
Attalla City,Attalla City,*,250,*,*,994,81,136,2022,1468.0,1025.0,22.0,1207.0,47.0,,56.0,261.0,46.0,0.6982288828337875,0.014986376021798364,0.8222070844686649,0.03201634877384196,,0.03814713896457766,0.17779291553133514,0.031335149863760216,,0.17029972752043596,,,0.6771117166212534,0.055177111716621256,0.09264305177111716,
Auburn City,Auburn City,1060,2133,*,*,5182,327,703,2022,9408.0,2427.0,26.0,7807.0,35.0,,74.0,1601.0,724.0,0.2579719387755102,0.0027636054421768708,0.8298256802721088,0.003720238095238095,,0.007865646258503401,0.17017431972789115,0.07695578231292517,0.11267006802721088,0.2267219387755102,,,0.5508078231292517,0.03475765306122449,0.07472363945578231,
Autauga County,Autauga County,183,2391,20,*,5518,276,430,2022,8825.0,3988.0,18.0,7339.0,34.0,,674.0,1486.0,88.0,0.45189801699716714,0.0020396600566572236,0.8316147308781869,0.0038526912181303117,,0.07637393767705382,0.16838526912181304,0.009971671388101983,0.020736543909348443,0.2709348441926346,0.0022662889518413596,,0.6252691218130312,0.03127478753541076,0.04872521246458923,
Baldwin County,Baldwin County,281,3443,93,23,21460,2517,3803,2022,31620.0,12590.0,71.0,25576.0,173.0,,768.0,6044.0,1921.0,0.3981657179000633,0.002245414294750158,0.8088551549652119,0.005471220746363061,,0.02428842504743833,0.1911448450347881,0.06075268817204301,0.008886780518659076,0.10888678051865908,0.0029411764705882353,0.0007273877292852625,0.6786843769765971,0.07960151802656547,0.12027197975964579,1.0
Barbour County,Barbour County,*,518,*,*,73,*,108,2022,718.0,531.0,,614.0,22.0,,,104.0,42.0,0.7395543175487466,,0.8551532033426184,0.03064066852367688,,,0.14484679665738162,0.0584958217270195,,0.7214484679665738,,,0.10167130919220056,,0.15041782729805014,
