Year,System,School,Grade,Gender,Ethnicity,Sub Population,Total Student Count,Asian,Asian %,Black or African American,Black or African American %,American Indian / Alaska Native, American Indian / Alaska Native %,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander %,White,White %,Two or more races,Two or more races %
2017,Coosa County,Central Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,390,*,*,174,44.62,*,*,*,*,207,53.08,*,*
2017,Morgan County,Albert P Brewer High School,All Grades,All Gender,All Ethnicity,All SubPopulation,789,*,*,15,~,39,~,*,*,726,92.02,*,*
2017,Albertville City,Albertville Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,1120,*,*,47,~,246,21.96,*,*,760,67.86,60,5.36
2017,Calhoun County,Alexandria Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,788,*,*,97,12.31,*,*,*,*,675,85.66,*,*
2017,St Clair County,Ashville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,420,*,*,28,6.67,14,~,*,*,363,86.43,11,~
2017,Auburn City,Auburn Early Education Center,All Grades,All Gender,All Ethnicity,All SubPopulation,572,63,11.01,158,27.62,13,~,*,*,319,55.77,15,~
2017,Baldwin County,Baldwin County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1126,*,*,307,27.26,12,~,*,*,744,66.07,59,5.24
2017,Hartselle City,Barkley Bridge Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,367,*,*,*,*,*,*,*,*,353,~,*,*
2017,Oxford City,CE Hanna School,All Grades,All Gender,All Ethnicity,All SubPopulation,634,11,~,157,24.76,*,*,*,*,430,67.82,34,5.36
2017,Coosa County,Central High School,All Grades,All Gender,All Ethnicity,All SubPopulation,299,*,*,140,46.82,*,*,*,*,147,49.16,*,*
2017,Elmore County,Eclectic Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,566,*,*,55,9.72,*,*,*,*,482,85.16,24,~
2017,Leeds City,Leeds Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,569,*,*,119,20.91,22,~,*,*,414,72.76,*,*
2017,Muscle Shoals City,McBride Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,658,20,~,92,13.98,*,*,*,*,512,77.81,25,~
2017,Alabaster City,Meadow View  Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,908,*,*,144,15.86,171,18.83,*,*,480,52.86,105,11.56
2017,Pike Road City,Pike Road School,All Grades,All Gender,All Ethnicity,All SubPopulation,1382,95,6.87,122,8.83,*,*,*,*,785,56.80,375,27.13
2017,Tuscaloosa County,Taylorville Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,604,18,~,323,53.48,*,*,*,*,244,40.40,15,~
2017,Vestavia Hills City,Vestavia Hills Elementary Central ,All Grades,All Gender,All Ethnicity,All SubPopulation,796,66,8.29,62,7.79,*,*,*,*,639,80.28,25,~
2017,Coosa County,Central Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,294,*,*,119,40.48,*,*,*,*,169,57.48,*,*
2017,Elmore County,Eclectic Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,476,*,*,47,9.87,*,*,*,*,416,87.39,*,*
2017,Escambia County,A.C. Moore Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,289,*,*,220,76.12,*,*,*,*,59,20.42,*,*
2017,Wilcox County,ABC Elementary,All Grades,All Gender,All Ethnicity,All SubPopulation,133,*,*,*,*,*,*,*,*,*,*,*,*
2017,Winston County,Addison High School,All Grades,All Gender,All Ethnicity,All SubPopulation,312,*,*,*,*,*,*,*,*,*,*,*,*
2017,Talladega County,AH Watwood Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,380,*,*,149,39.21,*,*,*,*,214,56.32,*,*
2017,Albertville City,Albertville Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,767,*,*,52,6.78,69,9.00,*,*,605,78.88,35,~
2017,Alexander City,Alexander City Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,433,*,*,167,38.57,*,*,*,*,253,58.43,*,*
2017,Calhoun County,Alexandria High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1009,*,*,122,12.09,*,*,*,*,873,86.52,*,*
2017,Pickens County,Aliceville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,333,*,*,322,~,*,*,*,*,*,*,*,*
2017,Marengo County,Amelia L. Johnson High School,All Grades,All Gender,All Ethnicity,All SubPopulation,190,*,*,*,*,*,*,*,*,*,*,*,*
2017,Andalusia City,Andalusia High School,All Grades,All Gender,All Ethnicity,All SubPopulation,487,*,*,164,33.68,*,*,*,*,307,63.04,*,*
2017,Anniston City,Anniston High School,All Grades,All Gender,All Ethnicity,All SubPopulation,548,*,*,517,94.34,*,*,*,*,16,~,15,~
2017,Arab City,Arab Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,569,*,*,*,*,*,*,*,*,544,~,*,*
2017,Limestone County,Ardmore High School,All Grades,All Gender,All Ethnicity,All SubPopulation,928,*,*,*,*,31,~,*,*,873,94.07,*,*
2017,Dale County,Ariton School,All Grades,All Gender,All Ethnicity,All SubPopulation,690,*,*,76,11.01,37,5.36,*,*,564,81.74,*,*
2017,Houston County,Ashford High School,All Grades,All Gender,All Ethnicity,All SubPopulation,691,*,*,160,23.15,*,*,*,*,514,74.38,13,~
2017,Clay County,Ashland Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,507,*,*,80,15.78,*,*,*,*,406,80.08,18,~
2017,St Clair County,Ashville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,437,*,*,32,7.32,*,*,*,*,392,89.70,*,*
2017,Athens City,Athens Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,432,*,*,95,21.99,60,13.89,*,*,247,57.18,25,5.79
2017,Auburn City,Auburn High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1835,214,11.66,429,23.38,18,~,*,*,1161,63.27,11,~
2017,Decatur City,Austin High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1445,15,~,524,36.26,*,*,*,*,863,59.72,34,~
2017,Birmingham City,Avondale Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,604,*,*,478,79.14,*,*,15,~,91,15.07,*,*
2017,Pike County,Banks School,All Grades,All Gender,All Ethnicity,All SubPopulation,358,*,*,114,31.84,*,*,*,*,216,60.34,17,~
2017,Baldwin County,Bay Minette Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,395,*,*,160,40.51,*,*,*,*,230,58.23,*,*
2017,Lee County,Beauregard High School,All Grades,All Gender,All Ethnicity,All SubPopulation,684,*,*,184,26.90,*,*,*,*,471,68.86,26,~
2017,Franklin County,Belgreen High School,All Grades,All Gender,All Ethnicity,All SubPopulation,544,*,*,*,*,37,6.80,*,*,479,88.05,26,~
2017,Fayette County,Berry Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,285,*,*,16,5.61,*,*,*,*,248,87.02,21,7.37
2017,Bibb County,Bibb County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,527,*,*,192,36.43,*,*,*,*,318,60.34,11,~
2017,Huntsville City,Blossomwood Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,662,*,*,227,34.29,*,*,*,*,388,58.61,30,~
2017,Macon County,Booker T Washington High,All Grades,All Gender,All Ethnicity,All SubPopulation,527,*,*,*,*,*,*,*,*,*,*,*,*
2017,Dallas County,Brantley Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,212,*,*,162,76.42,*,*,*,*,48,22.64,*,*
2017,Crenshaw County,Brantley High School,All Grades,All Gender,All Ethnicity,All SubPopulation,595,*,*,160,26.89,*,*,*,*,411,69.08,12,~
2017,Brewton City,Brewton Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,438,*,*,165,37.67,*,*,*,*,257,58.68,*,*
2017,Jackson County,Bridgeport Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,141,*,*,12,8.51,*,*,*,*,121,85.82,*,*
