System,School,is CEP,Enrollment ,Free,% Free,Reduced,% Reduced,Free Reduced,% Free Reduced ,,,
001 Autauga County,,,"8,878","2,514",28.317%,*,*,"2,514",28.317%,,,
,0015 Autaugaville School,0,226,146,64.60%,*,*,146,64.60%,,,
,0040 Billingsley High School,0,559,245,43.83%,*,*,245,43.83%,,,
,0050 Marbury High School,0,573,143,24.96%,*,*,143,24.96%,,,
,0052 Marbury Middle School,0,454,119,26.21%,*,*,119,26.21%,,,
,0055 Pine Level Elementary School,0,844,233,27.61%,*,*,233,27.61%,,,
,0060 Prattville Elementary School,0,584,180,30.82%,*,*,180,30.82%,,,
,0065 Daniel Pratt Elementary School,0,"1,029",278,27.02%,*,*,278,27.02%,,,
,0070 Prattville Intermediate School,0,652,150,23.01%,*,*,150,23.01%,,,
,0080 Prattville Junior High School,0,"1,042",304,29.17%,*,*,304,29.17%,,,
,0085 Prattville Kindergarten School,0,477,131,27.46%,*,*,131,27.46%,,,
,0086 Prattville High School,0,"1,867",398,21.32%,*,*,398,21.32%,,,
,0090 Prattville Primary School,0,571,187,32.75%,*,*,187,32.75%,,,
002 Baldwin County,,,"31,080","10,400",33.462%,"1,968",6.332%,"12,368",39.794%,,,
,0005 Baldwin County High School,0,"1,013",415,40.97%,52,5.13%,467,46.10%,,,
,0012 Bay Minette Middle School,0,443,237,53.50%,27,6.09%,264,59.59%,,,
,0015 Bay Minette Elementary School,0,708,408,57.63%,49,6.92%,457,64.55%,,,
,0025 Central Baldwin Middle School,0,751,332,44.21%,58,7.72%,390,51.93%,,,
,0035 Daphne High School,0,"1,623",356,21.93%,78,4.81%,434,26.74%,,,
,0037 Daphne Middle School,0,839,209,24.91%,56,6.67%,265,31.59%,,,
,0040 W J Carroll Intermediate School,0,424,166,39.15%,49,11.56%,215,50.71%,,,
,0041 Daphne Elementary School,0,599,233,38.90%,72,12.02%,305,50.92%,,,
,0042 Daphne East Elementary School,0,915,205,22.40%,35,3.83%,240,26.23%,,,
,0043 Belforest Elementary School,0,888,127,14.30%,45,5.07%,172,19.37%,,,
,0045 Delta Elementary School,0,193,94,48.70%,20,10.36%,114,59.07%,,,
,0047 Elberta Elementary School,0,818,306,37.41%,67,8.19%,373,45.60%,,,
,0050 Elberta High School,0,741,221,29.82%,47,6.34%,268,36.17%,,,
,0055 Elberta Middle School,0,253,97,38.34%,19,7.51%,116,45.85%,,,
,0060 Elsanor School,0,319,168,52.66%,32,10.03%,200,62.70%,,,
,0065 Fairhope High School,0,"1,607",233,14.50%,48,2.99%,281,17.49%,,,
,0070 Fairhope Middle School,0,802,176,21.95%,35,4.36%,211,26.31%,,,
,0071 Fairhope East Elementary ,0,721,101,14.01%,29,4.02%,130,18.03%,,,
,0073 Fairhope West Elementary,0,967,235,24.30%,53,5.48%,288,29.78%,,,
,0078 Foley Elementary School,0,872,559,64.11%,68,7.80%,627,71.90%,,,
